state_div,state_mp
Warrego,lnp
Condamine,lnp
Southern Downs,lnp
Broadwater,lnp
Surfers Paradise,lnp
Callide,lnp
Gregory,lnp
Toowoomba North,lnp
Mermaid Beach,lnp
Toowoomba South,lnp
Scenic Rim,lnp
Nanango,lnp
Hinchinbrook,kap
Hervey Bay,lnp
Gympie,lnp
Buderim,lnp
Mudgeeraba,lnp
Burdekin,lnp
Maroochydore,lnp
Mirani,on
Whitsunday,ind
Hill,kap
Burnett,lnp
Lockyer,lnp
Southport,lnp
Traeger,kap
Caloundra,lnp
Theodore,lnp
Oodgeroo,lnp
Mackay,alp
Keppel,alp
Kawana,lnp
Bundaberg,lnp
Gaven,alp
Burleigh,lnp
Noosa,ind
Maryborough,alp
Coomera,lnp
Moggill,lnp
Nicklin,lnp
Townsville,alp
Ninderry,lnp
Clayfield,lnp
Redlands,lnp
Macalister,alp
Redcliffe,alp
Pumicestone,lnp
Bancroft,alp
Chatsworth,lnp
Capalaba,alp
Glass House,lnp
Rockhampton,alp
Mansfield,alp
Everton,lnp
Cook,alp
Currumbin,lnp
Logan,alp
Mundingburra,alp
Thuringowa,alp
Cairns,alp
Aspley,alp
Maiwar,grn
Stafford,alp
Barron River,alp
Mulgrave,alp
Springwood,alp
Bonney,lnp
Lytton,alp
Pine Rivers,alp
Kurwongbah,alp
Cooper,alp
Mount Ommaney,alp
Murrumba,alp
Ipswich West,alp
Morayfield,alp
Sandgate,alp
Greenslopes,alp
Ferny Grove,alp
Bulimba,alp
Mcconnel,alp
Jordan,alp
Algester,alp
Miller,alp
Waterford,alp
Stretton,alp
Toohey,alp
Nudgee,alp
Ipswich,alp
Gladstone,alp
South Brisbane,alp
Bundamba,alp
Woodridge,alp
Inala,alp
