div,demo
Bean,inner_metro
Canberra,inner_metro
Fenner,inner_metro
Banks,inner_metro
Barton,inner_metro
Bennelong,inner_metro
Berowra,outer_metro
Blaxland,inner_metro
Bradfield,inner_metro
Calare,rural
Chifley,outer_metro
Cook,inner_metro
Cowper,provincial
Cunningham,provincial
Dobell,provincial
Eden-Monaro,rural
Farrer,rural
Fowler,outer_metro
Gilmore,rural
Grayndler,inner_metro
Greenway,outer_metro
Hughes,outer_metro
Hume,provincial
Hunter,rural
Kingsford Smith,inner_metro
Lindsay,outer_metro
Lyne,rural
Macarthur,outer_metro
Mackellar,outer_metro
Macquarie,provincial
McMahon,outer_metro
Mitchell,outer_metro
New England,rural
Newcastle,provincial
North Sydney,inner_metro
Page,rural
Parkes,rural
Parramatta,inner_metro
Paterson,provincial
Reid,inner_metro
Richmond,rural
Riverina,rural
Robertson,provincial
Shortland,provincial
Sydney,inner_metro
Warringah,inner_metro
Watson,inner_metro
Wentworth,inner_metro
Werriwa,outer_metro
Whitlam,provincial
Lingiari,rural
Solomon,inner_metro
Blair,provincial
Bonner,outer_metro
Bowman,outer_metro
Brisbane,inner_metro
Capricornia,provincial
Dawson,rural
Dickson,outer_metro
Fadden,outer_metro
Fairfax,rural
Fisher,rural
Flynn,rural
Forde,outer_metro
Griffith,inner_metro
Groom,provincial
Herbert,provincial
Hinkler,provincial
Kennedy,rural
Leichhardt,rural
Lilley,inner_metro
Longman,provincial
Maranoa,rural
McPherson,provincial
Moncrieff,provincial
Moreton,inner_metro
Oxley,outer_metro
Petrie,outer_metro
Rankin,outer_metro
Ryan,outer_metro
Wide Bay,rural
Wright,rural
Adelaide,inner_metro
Barker,rural
Boothby,outer_metro
Grey,rural
Hindmarsh,inner_metro
Kingston,outer_metro
Makin,outer_metro
Mayo,rural
Spence,outer_metro
Sturt,inner_metro
Bass,provincial
Braddon,rural
Clark,inner_metro
Franklin,outer_metro
Lyons,rural
Aston,outer_metro
Ballarat,provincial
Bendigo,provincial
Bruce,outer_metro
Calwell,outer_metro
Casey,rural
Chisholm,inner_metro
Cooper,inner_metro
Corangamite,provincial
Corio,provincial
Deakin,outer_metro
Dunkley,outer_metro
Flinders,rural
Fraser,outer_metro
Gellibrand,inner_metro
Gippsland,rural
Goldstein,inner_metro
Gorton,outer_metro
Higgins,inner_metro
Holt,outer_metro
Hotham,inner_metro
Indi,rural
Isaacs,outer_metro
Jagajaga,inner_metro
Kooyong,inner_metro
La Trobe,outer_metro
Lalor,outer_metro
Macnamara,inner_metro
Mallee,rural
Maribyrnong,inner_metro
McEwen,rural
Melbourne,inner_metro
Menzies,outer_metro
Monash,rural
Nicholls,rural
Scullin,outer_metro
Wannon,rural
Wills,inner_metro
Brand,outer_metro
Burt,outer_metro
Canning,outer_metro
Cowan,outer_metro
Curtin,inner_metro
Durack,rural
Forrest,rural
Fremantle,inner_metro
Hasluck,outer_metro
Moore,outer_metro
O'Connor,rural
Pearce,outer_metro
Perth,inner_metro
Stirling,inner_metro
Swan,inner_metro
Tangney,inner_metro
Port Adelaide,inner_metro
Wakefield,rural
Denison,inner_metro
Batman,inner_metro
McMillan,rural
Melbourne Ports,inner_metro
Murray,rural
Charlton,provincial
Throsby,inner_metro
Lowe,inner_metro
Prospect,outer_metro
Kalgoorlie,rural
